Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
12/6/2019,12/7/2019,9218,PICK N SAVE #880,Merchandise,16.75,
12/5/2019,12/6/2019,9218,PANERA BREAD #601553,Dining,11.96,
12/4/2019,12/5/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.06,
12/4/2019,12/4/2019,9218,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,2555.19
12/3/2019,12/4/2019,9218,PANERA BREAD #601553,Dining,13.74,
12/2/2019,12/4/2019,9218,MECCA SPORTS  10687002,Dining,9,
12/2/2019,12/4/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,33.78,
12/3/2019,12/3/2019,9218,UBER   TRIP,Other Travel,7.55,
12/2/2019,12/3/2019,9218,SENDIK S GERMANTOWN,Merchandise,7.95,
12/2/2019,12/3/2019,9218,Callaway Preowned,Merchandise,136.16,
11/30/2019,12/2/2019,9218,PICK N SAVE #880,Merchandise,40.35,
11/30/2019,12/2/2019,9218,THE STORE 90,Gas/Automotive,10.22,
11/29/2019,11/30/2019,9218,WAL-MART #1799,Merchandise,8.06,
11/28/2019,11/29/2019,9218,HLU*Hulu 318991827253-U,Phone/Cable,47.49,
11/26/2019,11/29/2019,9218,KWIK TRIP  63300006338,Gas/Automotive,9.58,
11/26/2019,11/29/2019,9218,KWIK TRIP  63300006338,Gas/Automotive,38.88,
11/26/2019,11/27/2019,9218,NBA*MILWAUKEE BUCK,Entertainment,99,
11/25/2019,11/26/2019,9218,FESTIVAL FOODS,Merchandise,21.75,
11/25/2019,11/26/2019,9218,SNOW.COM/VAIL RESORTS SKI,Entertainment,254.95,
11/25/2019,11/26/2019,9218,APPLE.COM/BILL,Merchandise,22.17,
11/24/2019,11/25/2019,9218,ADOBE PHOTOGPHY PLAN,Merchandise,10.59,
11/22/2019,11/23/2019,9218,MILLS FLEET FARM 1600,Merchandise,24,
11/22/2019,11/23/2019,9218,MILLS FLEET FARM 1600,Merchandise,10.54,
11/22/2019,11/23/2019,9218,MILLS FLEET FARM 1600,Merchandise,41.13,
11/21/2019,11/23/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,36.56,
11/20/2019,11/22/2019,9218,TANGLE OF GERMANTOWN,Other Services,27,
11/20/2019,11/21/2019,9218,PANERA BREAD #601553,Dining,13.74,
11/19/2019,11/20/2019,9218,Spotify USA,Phone/Cable,10.55,
11/19/2019,11/19/2019,9218,SXM*SIRIUSXM.COM/ACCT,Phone/Cable,,134.02
11/18/2019,11/19/2019,9218,SENDIK S GERMANTOWN,Merchandise,12.18,
11/17/2019,11/18/2019,9218,GLORIOSO BROTHERS CO,Merchandise,16.76,
11/15/2019,11/18/2019,9218,STARBUCKS STORE 09618,Dining,3.12,
11/15/2019,11/16/2019,9218,PANERA BREAD #601553,Dining,13.53,
11/15/2019,11/16/2019,9218,PICK N SAVE #880,Merchandise,24.28,
11/15/2019,11/16/2019,9218,PICK N SAVE #880,Merchandise,24.04,
11/14/2019,11/15/2019,9218,VZWRLSS*APOCC VISN,Phone/Cable,68.72,
11/14/2019,11/14/2019,9218,SXM*SIRIUSXM.COM/ACCT,Phone/Cable,257.79,
11/13/2019,11/14/2019,9218,SENDIK S GERMANTOWN,Merchandise,14.03,
11/13/2019,11/14/2019,9218,SPECTRUM,Phone/Cable,73.91,
11/12/2019,11/14/2019,9218,STARBUCKS STORE 09618,Dining,3.12,
11/12/2019,11/14/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,3.37,
11/12/2019,11/13/2019,9218,SENDIK S GERMANTOWN,Merchandise,8.21,
11/11/2019,11/12/2019,9218,CLARK 8435,Gas/Automotive,34.18,
11/11/2019,11/12/2019,9218,PANERA BREAD #601553,Dining,13.74,
11/11/2019,11/12/2019,9218,LATITUDE CAFE LLC,Merchandise,4.43,
11/10/2019,11/11/2019,9218,PICK N SAVE #868,Merchandise,43.27,
11/9/2019,11/9/2019,9218,UBER   TRIP,Other Travel,6.39,
11/8/2019,11/9/2019,9218,SENDIK S GERMANTOWN,Merchandise,8.72,
11/8/2019,11/9/2019,9218,ST1X GOLF ENTERTAINMENT,Entertainment,16,
11/8/2019,11/9/2019,9218,CODEANYWHERE,Internet,3,
11/6/2019,11/9/2019,9218,USCONNECT WATSN VEND 1 S,Dining,1.45,
11/7/2019,11/8/2019,9218,PANERA BREAD #601553,Dining,13.01,
11/7/2019,11/8/2019,9218,Audible US*PZ7UJ7P83,Other Services,15.79,
11/6/2019,11/7/2019,9218,WEISSMAN AUTO,Gas/Automotive,506.83,
11/5/2019,11/6/2019,9218,SENDIK S GERMANTOWN,Merchandise,3.45,
11/4/2019,11/5/2019,9218,PANERA BREAD #601553,Dining,11.96,
11/4/2019,11/5/2019,9218,Blizzard Entertainment,Entertainment,63.35,
11/4/2019,11/4/2019,9218,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,2251.19
11/1/2019,11/4/2019,9218,COLORADO STATE UNIVERSITY,Other,60,
11/2/2019,11/4/2019,9218,TRADER JOE'S #711  QPS,Merchandise,74.81,
11/1/2019,11/4/2019,9218,BRISCO COUNTY WOODEN GRIL,Dining,26.31,
11/1/2019,11/4/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,6.19,
11/1/2019,11/2/2019,9218,PANERA BREAD #601553,Dining,12.69,
10/31/2019,11/2/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,35.17,
10/31/2019,11/2/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,8.78,
10/31/2019,11/2/2019,9218,STARBUCKS STORE 09618,Dining,3.12,
10/30/2019,11/1/2019,9218,STARBUCKS STORE 09708,Dining,3.37,
10/30/2019,11/1/2019,9218,KWIK TRIP  93800009381,Gas/Automotive,32.62,
10/30/2019,10/31/2019,9218,CHIPOTLE 0313,Dining,14.75,
10/30/2019,10/31/2019,9218,WYNDHAM,Lodging,79.49,
10/30/2019,10/31/2019,9218,MCDONALD'S F4186,Dining,1.69,
10/30/2019,10/31/2019,9218,PICK N SAVE #868,Merchandise,43.1,
10/29/2019,10/31/2019,9218,BWW 3117 MICHIGAN CITY,Dining,32.16,
10/29/2019,10/31/2019,9218,STARBUCKS STORE 09708,Dining,5.3,
10/29/2019,10/31/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,10.58,
10/29/2019,10/31/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,28.05,
10/28/2019,10/30/2019,9218,KWIK TRIP  86200008623,Gas/Automotive,3.95,
10/28/2019,10/29/2019,9218,SENDIK S GERMANTOWN,Merchandise,7.68,
10/28/2019,10/29/2019,9218,HLU*Hulu 318991829722-U,Phone/Cable,47.49,
10/27/2019,10/29/2019,9218,KWIK TRIP  63300006338,Gas/Automotive,10.03,
10/27/2019,10/28/2019,9218,CULVERS BLACK RIVER FALL,Dining,11.07,
10/27/2019,10/28/2019,9218,APL*ITUNES.COM/BILL,Merchandise,10.55,
10/26/2019,10/28/2019,9218,KWIK TRIP  63300006338,Gas/Automotive,3.68,
10/26/2019,10/28/2019,9218,KWIK TRIP  63300006338,Gas/Automotive,34.27,
10/25/2019,10/28/2019,9218,USCONNECT WATSN VEND 1 S,Dining,2.45,
10/25/2019,10/28/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,5.99,
10/25/2019,10/26/2019,9218,"CAB STORE RICHFIELD, WI",Merchandise,138,
